epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19070.7,1.3652,1.56015,1.53538,0.3392,0.48665,0.23389,0.14228,1.21731,1.45705,1.40607,0.005842,0.005842,0.005842
44,19529.3,1.36619,1.54528,1.53939,0.3422,0.46554,0.23141,0.139,1.30514,1.50688,1.47381,0.005743,0.005743,0.005743
45,20005.5,1.36126,1.54343,1.53745,0.3057,0.46611,0.21914,0.13201,1.28411,1.5288,1.46976,0.005644,0.005644,0.005644
46,20321.6,1.35235,1.52636,1.53418,0.3022,0.44592,0.21905,0.12908,1.31006,1.48179,1.47216,0.005545,0.005545,0.005545
47,20718,1.34196,1.53112,1.53042,0.33371,0.4466,0.23764,0.14592,1.27594,1.50046,1.45362,0.005446,0.005446,0.005446
48,21212.3,1.34299,1.52438,1.52086,0.33343,0.46509,0.22602,0.13556,1.27801,1.48766,1.44663,0.005347,0.005347,0.005347
49,21637.9,1.33161,1.50238,1.52227,0.24055,0.46917,0.23155,0.14044,1.30178,1.52338,1.47558,0.005248,0.005248,0.005248
50,22072.1,1.32376,1.49088,1.51025,0.33126,0.45938,0.2524,0.14462,1.32703,1.46948,1.48072,0.005149,0.005149,0.005149
51,22577.9,1.33821,1.52087,1.52379,0.38118,0.45201,0.23806,0.14343,1.25297,1.46211,1.4232,0.00505,0.00505,0.00505
52,23099.3,1.32719,1.49589,1.50967,0.24282,0.47289,0.24791,0.15477,1.24015,1.44963,1.42382,0.004951,0.004951,0.004951
53,23659.8,1.31429,1.46822,1.50482,0.27488,0.51202,0.23162,0.14073,1.24355,1.46884,1.42389,0.004852,0.004852,0.004852
54,24108,1.31796,1.4767,1.5049,0.2814,0.47528,0.23308,0.14479,1.21027,1.49707,1.39853,0.004753,0.004753,0.004753
55,24600.5,1.30666,1.47621,1.50467,0.27397,0.46552,0.22434,0.14025,1.2481,1.47338,1.43383,0.004654,0.004654,0.004654
56,25041.4,1.30491,1.45301,1.49322,0.28975,0.47316,0.2502,0.16003,1.21147,1.42091,1.41695,0.004555,0.004555,0.004555
57,25505.4,1.31505,1.45278,1.50844,0.3189,0.48015,0.2506,0.15579,1.22401,1.44367,1.41541,0.004456,0.004456,0.004456
58,25939.5,1.28395,1.44191,1.4855,0.25032,0.50546,0.24343,0.15408,1.21756,1.44193,1.41402,0.004357,0.004357,0.004357
59,26480.9,1.29967,1.44627,1.49169,0.29076,0.49081,0.23226,0.14634,1.18859,1.44816,1.38479,0.004258,0.004258,0.004258
60,26832.2,1.2769,1.43784,1.46645,0.26348,0.51315,0.24727,0.15777,1.1971,1.43169,1.38213,0.004159,0.004159,0.004159
61,27314.9,1.281,1.42227,1.48092,0.2547,0.49532,0.25015,0.15784,1.18863,1.4141,1.3886,0.00406,0.00406,0.00406
62,27663.2,1.27828,1.42011,1.47289,0.23113,0.51829,0.24361,0.15535,1.18317,1.40902,1.38274,0.003961,0.003961,0.003961
63,28025.7,1.26137,1.39519,1.46413,0.29866,0.48531,0.25274,0.15985,1.17896,1.39249,1.37692,0.003862,0.003862,0.003862
