epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3923.59,1.39485,1.34408,1.64905,0.30829,0.58014,0.36407,0.1961,1.47009,1.34814,1.6943,0.005842,0.005842,0.005842
44,2576.62,1.40742,1.3738,1.65709,0.32759,0.50868,0.33268,0.18539,1.50537,1.37399,1.71594,0.005743,0.005743,0.005743
45,5011.96,1.35014,1.28783,1.62039,0.32271,0.59139,0.37265,0.20933,1.46239,1.33384,1.69836,0.005644,0.005644,0.005644
46,7699.69,1.33686,1.27437,1.61007,0.308,0.53916,0.36977,0.20268,1.50378,1.36915,1.75048,0.005545,0.005545,0.005545
47,379.315,1.34061,1.30106,1.61144,0.30218,0.47086,0.30706,0.17437,1.52033,1.51022,1.75673,0.005446,0.005446,0.005446
48,738.225,1.28582,1.22483,1.57492,0.33134,0.58382,0.36778,0.21065,1.49461,1.33684,1.73729,0.005347,0.005347,0.005347
49,947.256,1.26825,1.20271,1.55741,0.30834,0.53079,0.3504,0.19906,1.47375,1.35706,1.735,0.005248,0.005248,0.005248
50,1288.37,1.33291,1.23987,1.60943,0.34415,0.56774,0.36438,0.21087,1.38798,1.30978,1.66283,0.005149,0.005149,0.005149
51,1533.32,1.32365,1.24206,1.59733,0.36031,0.58681,0.37117,0.20452,1.41802,1.29074,1.66184,0.00505,0.00505,0.00505
52,1909.84,1.35674,1.24879,1.61712,0.31485,0.52774,0.36694,0.20672,1.46027,1.30138,1.69147,0.004951,0.004951,0.004951
53,2326.27,1.3496,1.26202,1.61512,0.38356,0.56765,0.38878,0.22849,1.40701,1.22923,1.64448,0.004852,0.004852,0.004852
54,2713.74,1.34677,1.25539,1.61763,0.31184,0.55545,0.36562,0.2064,1.43912,1.34565,1.67679,0.004753,0.004753,0.004753
55,3235.12,1.34482,1.24685,1.60271,0.31336,0.51269,0.37143,0.20936,1.50191,1.27864,1.72606,0.004654,0.004654,0.004654
56,3520.85,1.31878,1.22748,1.58053,0.34505,0.5346,0.3667,0.21096,1.43447,1.26936,1.67441,0.004555,0.004555,0.004555
57,3984.16,1.32279,1.19819,1.58857,0.33786,0.57209,0.37554,0.21486,1.45271,1.26189,1.66282,0.004456,0.004456,0.004456
58,4198.66,1.33086,1.22858,1.6051,0.37852,0.56905,0.37478,0.21854,1.40972,1.22844,1.64744,0.004357,0.004357,0.004357
59,4573.09,1.32567,1.20794,1.59477,0.35472,0.55987,0.3711,0.22349,1.35779,1.20977,1.61547,0.004258,0.004258,0.004258
60,4795.07,1.31734,1.21186,1.58601,0.34622,0.58854,0.38079,0.22923,1.34916,1.16843,1.61509,0.004159,0.004159,0.004159
61,5079.47,1.32098,1.22983,1.59426,0.33812,0.59094,0.3776,0.21678,1.39351,1.22224,1.62768,0.00406,0.00406,0.00406
62,5357.04,1.31119,1.19103,1.58318,0.33566,0.59521,0.37309,0.21993,1.34104,1.17212,1.59398,0.003961,0.003961,0.003961
63,5821.44,1.31455,1.21263,1.58461,0.36845,0.60082,0.37273,0.21947,1.3854,1.20897,1.60601,0.003862,0.003862,0.003862
64,6195.56,1.30469,1.19792,1.57982,0.35345,0.59397,0.37763,0.21884,1.4248,1.19159,1.66456,0.003763,0.003763,0.003763
65,6604.58,1.32381,1.21422,1.59055,0.37427,0.55534,0.37684,0.21702,1.41519,1.19777,1.64414,0.003664,0.003664,0.003664
66,6860.81,1.28426,1.17029,1.56888,0.37348,0.58863,0.39083,0.23318,1.32821,1.15864,1.57508,0.003565,0.003565,0.003565
67,7224.64,1.29766,1.18321,1.57192,0.37369,0.57585,0.38716,0.23076,1.33399,1.12166,1.58566,0.003466,0.003466,0.003466
68,7453.19,1.28659,1.1704,1.56481,0.35009,0.58238,0.3796,0.22686,1.35792,1.16914,1.60152,0.003367,0.003367,0.003367
69,7862.16,1.28136,1.14422,1.55922,0.34079,0.59642,0.38088,0.22385,1.35953,1.15173,1.60017,0.003268,0.003268,0.003268
70,8175.53,1.27422,1.15142,1.55589,0.35807,0.58379,0.38342,0.22717,1.37527,1.1494,1.63178,0.003169,0.003169,0.003169
71,8400.01,1.25679,1.15072,1.53784,0.35367,0.56538,0.37703,0.21949,1.37167,1.15667,1.60284,0.00307,0.00307,0.00307
72,8724.61,1.24759,1.12948,1.54076,0.35699,0.57046,0.38638,0.22884,1.36382,1.14934,1.59955,0.002971,0.002971,0.002971
73,8932.71,1.25755,1.13359,1.53688,0.36109,0.58912,0.37991,0.22655,1.377,1.18559,1.61705,0.002872,0.002872,0.002872
74,9198.32,1.24522,1.12658,1.53212,0.36516,0.57938,0.38121,0.22796,1.39473,1.206,1.62273,0.002773,0.002773,0.002773
75,9662.01,1.25486,1.12976,1.53097,0.34161,0.57741,0.38291,0.22557,1.40348,1.18689,1.63954,0.002674,0.002674,0.002674
76,10220,1.22882,1.09703,1.5247,0.37974,0.58803,0.40338,0.2436,1.33933,1.13188,1.57933,0.002575,0.002575,0.002575
77,10695.5,1.25393,1.10889,1.5353,0.35847,0.58768,0.38139,0.22961,1.33943,1.15068,1.58336,0.002476,0.002476,0.002476
78,11246.1,1.23571,1.11725,1.52227,0.3532,0.60548,0.38901,0.23005,1.36338,1.16438,1.5998,0.002377,0.002377,0.002377
79,11796.6,1.22441,1.1029,1.51206,0.38468,0.58452,0.39256,0.23294,1.36368,1.14939,1.59645,0.002278,0.002278,0.002278
80,12403,1.22866,1.09806,1.5245,0.35856,0.58255,0.38502,0.23125,1.29607,1.11932,1.53704,0.002179,0.002179,0.002179
81,12839.1,1.21693,1.08481,1.51376,0.38863,0.59812,0.38725,0.23576,1.30195,1.11419,1.56234,0.00208,0.00208,0.00208
82,13296.4,1.22794,1.09453,1.51967,0.37206,0.59219,0.38815,0.2297,1.32813,1.12123,1.57263,0.001981,0.001981,0.001981
83,13765.9,1.21614,1.07527,1.51606,0.38822,0.59814,0.39328,0.23601,1.32271,1.1088,1.58421,0.001882,0.001882,0.001882
