epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,36726.1,1.02577,0.69629,1.31777,0.89069,0.78329,0.8205,0.53907,1.30849,0.90171,1.67995,0.005842,0.005842,0.005842
44,37491.5,1.01859,0.68285,1.31291,0.88509,0.76989,0.83452,0.5466,1.29003,0.87114,1.63236,0.005743,0.005743,0.005743
45,38106.4,1.01128,0.68137,1.30164,0.88493,0.76721,0.83338,0.56089,1.27713,0.87947,1.62668,0.005644,0.005644,0.005644
46,38761.2,1.01681,0.67246,1.29876,0.88934,0.76118,0.82053,0.54713,1.3122,0.91379,1.65974,0.005545,0.005545,0.005545
47,39632.3,1.00087,0.67041,1.29513,0.87535,0.75606,0.81813,0.54292,1.33798,0.90412,1.71135,0.005446,0.005446,0.005446
48,40406.2,0.99439,0.66337,1.2886,0.89459,0.76215,0.82926,0.56712,1.25974,0.88181,1.62162,0.005347,0.005347,0.005347
49,41117,0.99283,0.65833,1.28665,0.89048,0.79273,0.81278,0.54624,1.26125,0.87778,1.62012,0.005248,0.005248,0.005248
50,41900.5,0.98084,0.65598,1.27245,0.90786,0.7717,0.84229,0.5452,1.28319,0.79838,1.63957,0.005149,0.005149,0.005149
51,42743.4,0.96678,0.64597,1.27066,0.90038,0.76492,0.80364,0.52274,1.30955,0.9323,1.66114,0.00505,0.00505,0.00505
52,43413.9,0.96076,0.64665,1.26546,0.89632,0.77184,0.82306,0.55114,1.28747,0.89548,1.66284,0.004951,0.004951,0.004951
53,44141.7,0.95712,0.63672,1.2599,0.86355,0.78074,0.81848,0.54887,1.27393,0.84777,1.66724,0.004852,0.004852,0.004852
54,44871.5,0.95704,0.6291,1.25719,0.86686,0.76841,0.82244,0.547,1.30438,0.88717,1.68928,0.004753,0.004753,0.004753
55,45736.1,0.94176,0.6221,1.25128,0.93399,0.73457,0.82615,0.55336,1.28497,0.88959,1.68883,0.004654,0.004654,0.004654
56,46608.7,0.94565,0.63337,1.25787,0.87401,0.77893,0.8147,0.54252,1.31876,0.94113,1.71541,0.004555,0.004555,0.004555
57,47350.5,0.93062,0.62077,1.24409,0.88149,0.78158,0.82865,0.55494,1.31393,0.89948,1.6859,0.004456,0.004456,0.004456
58,48437.8,0.92996,0.61319,1.24759,0.87148,0.74955,0.81325,0.54801,1.31105,1.02223,1.68059,0.004357,0.004357,0.004357
59,49302,0.91969,0.61307,1.23634,0.88665,0.78876,0.83671,0.56606,1.27921,0.83362,1.65961,0.004258,0.004258,0.004258
60,49976.6,0.91623,0.60778,1.22848,0.88775,0.79262,0.82865,0.55642,1.26793,0.91667,1.64818,0.004159,0.004159,0.004159
61,50721,0.90582,0.5966,1.22564,0.92871,0.76395,0.83653,0.55308,1.25699,0.88543,1.64675,0.00406,0.00406,0.00406
62,51465,0.90013,0.59916,1.22848,0.87721,0.7602,0.80366,0.54063,1.28021,0.98703,1.66469,0.003961,0.003961,0.003961
63,52307.4,0.89422,0.59663,1.22057,0.89808,0.75316,0.81148,0.53939,1.28946,0.91792,1.68862,0.003862,0.003862,0.003862
64,52865.2,0.88593,0.59458,1.21578,0.89364,0.75853,0.79222,0.52893,1.28918,0.93929,1.67076,0.003763,0.003763,0.003763
65,53476.1,0.89083,0.58597,1.21337,0.8882,0.74595,0.81871,0.53985,1.28344,0.96373,1.66908,0.003664,0.003664,0.003664
66,54291.1,0.8748,0.58199,1.20287,0.88444,0.75338,0.80765,0.52989,1.2768,0.96515,1.66069,0.003565,0.003565,0.003565
67,55054.5,0.87016,0.58575,1.20155,0.89078,0.74431,0.79477,0.52913,1.27586,0.93973,1.68453,0.003466,0.003466,0.003466
68,55969.7,0.86274,0.58117,1.1984,0.8462,0.75938,0.79169,0.52344,1.31745,0.99574,1.73445,0.003367,0.003367,0.003367
